Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,35,Flatlands,Flatlands,6:00PM,Flatbush
7/8/2026,13,Mill Basin,Mill Basin,6:00PM,Flatbush
7/8/2026,20,Paerdegat,Paerdegat,6:00PM,Flatbush
7/8/2026,14,Rugby,Rugby,6:00PM,Flatbush
7/8/2026,2,Clarendon,Clarendon,7:00PM,Flatbush
7/8/2026,1,Cortelyou,Cortelyou,7:00PM,Flatbush
7/8/2026,3,Flatbush,Flatbush,7:00PM,Flatbush
7/8/2026,1,Flatlands,Flatlands,7:00PM,Flatbush
7/8/2026,1,Mill Basin,Mill Basin,7:00PM,Flatbush
7/8/2026,0,Paerdegat,Paerdegat,7:00PM,Flatbush
7/8/2026,0,Rugby,Rugby,7:00PM,Flatbush
7/8/2026,0,Clarendon,Clarendon,8:00PM,Flatbush
7/8/2026,0,Cortelyou,Cortelyou,8:00PM,Flatbush
7/8/2026,0,East Flatbush,East Flatbush,8:00PM,Flatbush
7/8/2026,0,Flatbush,Flatbush,8:00PM,Flatbush
7/8/2026,0,Flatlands,Flatlands,8:00PM,Flatbush
7/8/2026,0,Mill Basin,Mill Basin,8:00PM,Flatbush
7/8/2026,0,Paerdegat,Paerdegat,8:00PM,Flatbush
7/8/2026,0,Rugby,Rugby,8:00PM,Flatbush
7/8/2026,0,Clarendon,Clarendon,9:00PM,Flatbush
7/8/2026,0,Cortelyou,Cortelyou,9:00PM,Flatbush
7/8/2026,0,East Flatbush,East Flatbush,9:00PM,Flatbush
7/8/2026,0,Flatbush,Flatbush,9:00PM,Flatbush
7/8/2026,0,Flatlands,Flatlands,9:00PM,Flatbush
7/8/2026,0,Mill Basin,Mill Basin,9:00PM,Flatbush
7/8/2026,0,Paerdegat,Paerdegat,9:00PM,Flatbush
7/8/2026,0,Sheepshead Bay,Sheepshead Bay,10:00PM,Kings Highway
7/8/2026,56,Kings Bay,Kings Bay,11:00AM,Kings Highway
7/8/2026,100,Kings Highway,Kings Highway,11:00AM,Kings Highway
7/8/2026,54,Sheepshead Bay,Sheepshead Bay,11:00AM,Kings Highway
7/8/2026,49,Kings Bay,Kings Bay,12:00PM,Kings Highway
7/8/2026,84,Kings Highway,Kings Highway,12:00PM,Kings Highway
7/8/2026,32,Sheepshead Bay,Sheepshead Bay,12:00PM,Kings Highway
7/8/2026,40,Kings Bay,Kings Bay,2:00PM,Kings Highway
7/8/2026,77,Kings Highway,Kings Highway,2:00PM,Kings Highway
7/8/2026,31,Sheepshead Bay,Sheepshead Bay,2:00PM,Kings Highway
7/8/2026,27,Kings Bay,Kings Bay,3:00PM,Kings Highway
7/8/2026,31,Sheepshead Bay,Sheepshead Bay,3:00PM,Kings Highway
7/8/2026,43,Kings Bay,Kings Bay,4:00PM,Kings Highway
7/8/2026,34,Sheepshead Bay,Sheepshead Bay,4:00PM,Kings Highway
7/8/2026,35,Kings Bay,Kings Bay,5:00PM,Kings Highway
7/8/2026,35,Sheepshead Bay,Sheepshead Bay,5:00PM,Kings Highway
7/8/2026,44,Kings Bay,Kings Bay,6:00PM,Kings Highway
7/8/2026,32,Sheepshead Bay,Sheepshead Bay,6:00PM,Kings Highway
